0,"4.559,68"
1,"4.560,00"
2,"5.505,70"
3,"10.903,20"
4,"14.303,43"
5,"15.941,64"
6,"34.208,73"
7,"56.304,00"
8,(no venta al público)
9,(no venta al público)
