0,"3.414,16"
1,"10.942,40"
2,"14.167,00"
3,"30.956,67"
4,"32.775,46"
5,"49.325,14"
6,"69.172,00"
7,"80.673,37"
8,"87.701,70"
9,"118.382,69"
