0,"2.125,47"
1,"2.598,26"
2,"4.776,64"
3,(no venta al público)
4,"7.354,74"
5,"7.609,00"
6,(no venta al público)
7,"9.034,08"
8,(no venta al público)
9,"15.856,37"
10,"17.490,32"
11,"27.161,00"
12,"33.927,85"
0,"34.208,73"
1,"56.304,00"
2,(no venta al público)
