0,"81,29"
1,"738,19"
2,"765,00"
3,"782,00"
4,"813,84"
5,"825,06"
6,"829,43"
7,"832,32"
8,"843,03"
9,"869,00"
0,"871,43"
1,"875,78"
2,"878,00"
3,"880,00"
4,"886,73"
5,"924,04"
6,"932,00"
7,"939,00"
8,"940,34"
9,"948,96"
0,"965,30"
1,"965,83"
2,"980,25"
3,"990,61"
4,"1.007,92"
5,"1.078,50"
6,"1.109,22"
7,"1.115,13"
8,"1.148,84"
9,"1.159,05"
0,"1.223,95"
1,"1.229,29"
2,"1.229,92"
3,"1.236,61"
4,"1.239,76"
5,"1.342,00"
6,"1.356,09"
7,"1.398,84"
8,"1.410,16"
9,"1.480,00"
0,"1.491,99"
1,"1.547,06"
2,"1.561,58"
3,"1.566,87"
4,"1.952,28"
5,"1.968,02"
6,"2.026,77"
7,"2.321,47"
8,"2.347,76"
9,"4.225,61"
