0,"478,98"
1,"478,98"
2,"3.139,22"
3,"3.139,22"
4,"3.139,22"
5,"3.139,22"
6,"4.468,76"
7,"4.468,76"
8,"4.479,56"
9,"4.842,15"
0,"4.842,15"
1,"7.537,77"
2,"8.526,46"
3,"8.526,46"
4,"10.479,45"
5,"10.479,45"
6,"10.479,45"
7,"10.651,64"
8,"13.572,34"
9,"14.316,19"
0,"14.316,19"
1,"17.356,58"
2,"18.217,32"
3,"20.175,54"
4,"20.175,54"
5,"20.419,91"
6,"21.299,52"
7,"22.359,56"
8,"22.359,56"
9,"22.719,80"
0,"22.794,56"
1,"23.161,59"
2,"23.250,44"
3,"23.789,14"
4,"24.927,28"
5,"24.927,28"
6,"24.927,28"
7,"24.927,28"
8,(no venta al público)
9,"24.927,28"
10,"24.927,28"
0,"24.927,28"
1,"24.927,28"
2,(no venta al público)
3,"24.927,28"
4,"27.696,54"
5,"30.225,26"
6,"30.461,66"
7,"30.461,66"
8,(no venta al público)
9,"32.068,74"
10,"33.011,88"
11,"34.004,86"
0,"34.004,86"
1,(no venta al público)
2,"35.012,83"
3,"38.939,36"
4,"38.939,36"
5,"40.805,90"
6,"46.323,82"
